,price,temps,title
142,249 €,"19 avr, 10:59",Lenovo Thinkpad X230 - Core i5 - 8 go Ram - 500 go
143,550 €,"19 avr, 10:14",ThinkPad X250 neuf
144,175 €,"19 avr, 10:10",PC PORTABLE Lenovo X240 Core i5/4/500
145,195 €,"19 avr, 09:50",Ordinateur Portable LENOVO T430
147,400 €,"19 avr, 08:27",ThinkPad Lenovo T460 Corei5 8G 256G
148,200 €,"19 avr, 01:25",Pc Portable Lenovo T440p SSD 256 8 Ram
149,158 €,"18 avr, 23:11","LENOVO THINKPAD X240 CORE i3- 2,4Ghz- 4G 128Go W7"
150,129 €,"18 avr, 23:08","Lenovo Thinkpad L530 Celeron- 2,2Ghz- 4G -250G- W7"
152,158 €,"18 avr, 23:03","PC Lenovo X230i Core i3 2,4W7Ghz 4Go 128Go W7"
153,150 €,"18 avr, 21:55",Lenovo thinkpad l420 core i5
154,10 €,"18 avr, 21:02",Mémoire PC portable IBM 256 MO DDR-1 PC-2100
155,20 €,"18 avr, 20:37",Chargeur numero 1 - lenovo ORIGINAL 20V 65W
156,800 €,"18 avr, 19:37",Lenovo thinkpad 13 - presque neuf
157,20 €,"18 avr, 19:33",Annonce 2 - Chargeur lenovo ORIGINAL 20V 90W TBE
159,40 €,"18 avr, 19:29",Pièces lenovo ThinkPad E145
160,20 €,"18 avr, 18:17",Batterie LENOVO FRU-42T4753
161,180 €,"18 avr, 17:56",Thinkpad Lenovo X260 W10 office 2013
162,150 €,"18 avr, 17:27",Lenovo Thinkpad L440 500Go
163,100 €,"18 avr, 17:01",Ultra portable lenovo x61s ThinkPad
164,25 €,"18 avr, 16:42",Clavier AZERTY Thinkpad x230 (Non retroéclairé)
165,300 €,"18 avr, 16:36",LENOVO Thinkpad W520
166,20 €,"18 avr, 13:38",Clavier Lenovo original pour Thinkpad X230
167,50 €,"18 avr, 13:12",Pieces détachées Portable LENOVO ThinkPad X240
169,150 €,"18 avr, 11:17",Lenovo ThinkPad X230- 8Go - HDD 500Go
